Epoch,Training RMSE,Validation RMSE,Hidden Size,Number of Layers,Learning Rate,Sequence Length,Batch Size
50,0.5767,0.5277,32,1,1e-05,60,32
100,0.4590,0.4623,32,1,1e-05,60,32
150,0.4256,0.4368,32,1,1e-05,60,32
200,0.4027,0.4329,32,1,1e-05,60,32
250,0.3844,0.4347,32,1,1e-05,60,32
300,0.3681,0.4347,32,1,1e-05,60,32
350,0.3530,0.4309,32,1,1e-05,60,32
400,0.3387,0.4242,32,1,1e-05,60,32
450,0.3248,0.4163,32,1,1e-05,60,32
500,0.3114,0.4091,32,1,1e-05,60,32
550,0.2988,0.4035,32,1,1e-05,60,32
600,0.2868,0.3997,32,1,1e-05,60,32
50,0.3895,0.4351,32,1,5e-05,60,32
100,0.3169,0.4106,32,1,5e-05,60,32
150,0.2636,0.3967,32,1,5e-05,60,32
200,0.2341,0.3954,32,1,5e-05,60,32
250,0.2130,0.3974,32,1,5e-05,60,32
300,0.1945,0.4004,32,1,5e-05,60,32
350,0.1775,0.4072,32,1,5e-05,60,32
400,0.1634,0.4182,32,1,5e-05,60,32
450,0.1537,0.4224,32,1,5e-05,60,32
500,0.1467,0.4245,32,1,5e-05,60,32
550,0.1406,0.4327,32,1,5e-05,60,32
600,0.1355,0.4254,32,1,5e-05,60,32
50,0.3250,0.4108,32,1,0.0001,60,32
100,0.2413,0.3955,32,1,0.0001,60,32
150,0.1977,0.3978,32,1,0.0001,60,32
200,0.1661,0.4030,32,1,0.0001,60,32
250,0.1503,0.4068,32,1,0.0001,60,32
300,0.1393,0.4153,32,1,0.0001,60,32
350,0.1301,0.4145,32,1,0.0001,60,32
400,0.1225,0.4170,32,1,0.0001,60,32
450,0.1174,0.4222,32,1,0.0001,60,32
500,0.1120,0.4327,32,1,0.0001,60,32
550,0.1112,0.4315,32,1,0.0001,60,32
600,0.1097,0.4343,32,1,0.0001,60,32
50,0.2273,0.3880,32,1,0.0003,60,32
100,0.1559,0.3970,32,1,0.0003,60,32
150,0.1372,0.4070,32,1,0.0003,60,32
200,0.1162,0.4229,32,1,0.0003,60,32
250,0.1061,0.4585,32,1,0.0003,60,32
300,0.1011,0.4915,32,1,0.0003,60,32
350,0.0934,0.5173,32,1,0.0003,60,32
400,0.0907,0.5254,32,1,0.0003,60,32
450,0.0773,0.5445,32,1,0.0003,60,32
500,0.0763,0.5478,32,1,0.0003,60,32
550,0.0797,0.5505,32,1,0.0003,60,32
600,0.0739,0.5565,32,1,0.0003,60,32
50,0.1761,0.3883,32,1,0.0005,60,32
100,0.1427,0.4286,32,1,0.0005,60,32
150,0.1227,0.4301,32,1,0.0005,60,32
200,0.0958,0.4591,32,1,0.0005,60,32
250,0.0871,0.4933,32,1,0.0005,60,32
300,0.0913,0.4933,32,1,0.0005,60,32
350,0.0756,0.5179,32,1,0.0005,60,32
400,0.0748,0.5147,32,1,0.0005,60,32
450,0.0828,0.5147,32,1,0.0005,60,32
500,0.0646,0.5332,32,1,0.0005,60,32
550,0.0671,0.5315,32,1,0.0005,60,32
600,0.0865,0.5368,32,1,0.0005,60,32
50,0.1420,0.4018,32,1,0.001,60,32
100,0.1105,0.4379,32,1,0.001,60,32
150,0.1023,0.4452,32,1,0.001,60,32
200,0.0985,0.4410,32,1,0.001,60,32
250,0.0870,0.4466,32,1,0.001,60,32
300,0.0900,0.4489,32,1,0.001,60,32
350,0.0881,0.4510,32,1,0.001,60,32
400,0.0708,0.4394,32,1,0.001,60,32
450,0.0819,0.4390,32,1,0.001,60,32
500,0.0781,0.4434,32,1,0.001,60,32
550,0.0851,0.4467,32,1,0.001,60,32
600,0.0744,0.4431,32,1,0.001,60,32
50,0.4825,0.5201,32,2,1e-05,60,32
100,0.4158,0.4532,32,2,1e-05,60,32
150,0.3863,0.4466,32,2,1e-05,60,32
200,0.3662,0.4415,32,2,1e-05,60,32
250,0.3472,0.4339,32,2,1e-05,60,32
300,0.3287,0.4255,32,2,1e-05,60,32
350,0.3114,0.4177,32,2,1e-05,60,32
400,0.2957,0.4120,32,2,1e-05,60,32
450,0.2820,0.4086,32,2,1e-05,60,32
500,0.2697,0.4066,32,2,1e-05,60,32
550,0.2588,0.4051,32,2,1e-05,60,32
600,0.2491,0.4035,32,2,1e-05,60,32
50,0.3576,0.4329,32,2,5e-05,60,32
100,0.2849,0.4016,32,2,5e-05,60,32
150,0.2435,0.3921,32,2,5e-05,60,32
200,0.2110,0.3891,32,2,5e-05,60,32
250,0.1857,0.3944,32,2,5e-05,60,32
300,0.1657,0.4092,32,2,5e-05,60,32
350,0.1518,0.4263,32,2,5e-05,60,32
400,0.1426,0.4369,32,2,5e-05,60,32
450,0.1359,0.4430,32,2,5e-05,60,32
500,0.1308,0.4461,32,2,5e-05,60,32
550,0.1262,0.4517,32,2,5e-05,60,32
600,0.1223,0.4596,32,2,5e-05,60,32
50,0.2977,0.3992,32,2,0.0001,60,32
100,0.2257,0.3876,32,2,0.0001,60,32
150,0.1694,0.4043,32,2,0.0001,60,32
200,0.1460,0.4265,32,2,0.0001,60,32
250,0.1365,0.4384,32,2,0.0001,60,32
300,0.1286,0.4257,32,2,0.0001,60,32
350,0.1201,0.4325,32,2,0.0001,60,32
400,0.1171,0.4421,32,2,0.0001,60,32
450,0.1098,0.4408,32,2,0.0001,60,32
500,0.1033,0.4539,32,2,0.0001,60,32
550,0.0954,0.4634,32,2,0.0001,60,32
600,0.0947,0.4673,32,2,0.0001,60,32
50,0.2164,0.3912,32,2,0.0003,60,32
100,0.1574,0.4080,32,2,0.0003,60,32
150,0.1258,0.4188,32,2,0.0003,60,32
200,0.1148,0.4281,32,2,0.0003,60,32
250,0.0969,0.4366,32,2,0.0003,60,32
300,0.0814,0.4549,32,2,0.0003,60,32
350,0.0852,0.4638,32,2,0.0003,60,32
400,0.0740,0.4701,32,2,0.0003,60,32
450,0.0819,0.4756,32,2,0.0003,60,32
500,0.0758,0.4727,32,2,0.0003,60,32
550,0.0667,0.4819,32,2,0.0003,60,32
600,0.0682,0.4839,32,2,0.0003,60,32
50,0.1653,0.4017,32,2,0.0005,60,32
100,0.1180,0.4195,32,2,0.0005,60,32
150,0.1018,0.4109,32,2,0.0005,60,32
200,0.1044,0.4093,32,2,0.0005,60,32
250,0.0961,0.4094,32,2,0.0005,60,32
300,0.0815,0.4125,32,2,0.0005,60,32
