num_layers,hidden_size,learning_rate,num_epochs,RMSE

1,16,1e-05,50,0.8803613443199764
1,16,1e-05,100,0.340467002079868
1,16,1e-05,150,0.3310682130824404
1,16,1e-05,200,0.32719348198815457
1,16,1e-05,250,0.32488632414904695
1,16,1e-05,300,0.32337914184554356
1,16,1e-05,350,0.322335403286242
1,16,1e-05,400,0.3215801810064529
1,16,1e-05,450,0.3210132307648933
1,16,1e-05,500,0.32057518771018145
1,16,1e-05,550,0.3202278909354836
1,16,1e-05,600,0.31994675480162116

1,16,5e-05,50,0.3583713074272038
1,16,5e-05,100,0.3279064563295047
1,16,5e-05,150,0.3220651176223373
1,16,5e-05,200,0.32028659855395236
1,16,5e-05,250,0.3195061769418194
1,16,5e-05,300,0.3190912131411431
1,16,5e-05,350,0.3188441745164874
1,16,5e-05,400,0.31868662718425
1,16,5e-05,450,0.31857995424807695
1,16,5e-05,500,0.3185039964077842
1,16,5e-05,550,0.3184471945367884
1,16,5e-05,600,0.31840288999886696

1,16,0.0001,50,0.33741946804904277
1,16,0.0001,100,0.3251268011099716
1,16,0.0001,150,0.322394743975564
1,16,0.0001,200,0.3209875251315734
1,16,0.0001,250,0.32010833700070135
1,16,0.0001,300,0.31952423703581834
1,16,0.0001,350,0.31913053106736256
1,16,0.0001,400,0.3188697141346057
1,16,0.0001,450,0.3187011569131106
1,16,0.0001,500,0.31858943747332696
1,16,0.0001,550,0.3185133883276324
1,16,0.0001,600,0.31846166500310447

1,16,0.0003,50,0.3297706164768762
1,16,0.0003,100,0.32904308037182256
1,16,0.0003,150,0.336166359326262
1,16,0.0003,200,0.3294952369824695
1,16,0.0003,250,0.32493719677068084
1,16,0.0003,300,0.3224297770111181
1,16,0.0003,350,0.3209218184438903
1,16,0.0003,400,0.3200506791760915
1,16,0.0003,450,0.3194891186011879
1,16,0.0003,500,0.31911631273278684
1,16,0.0003,550,0.31888571916550756
1,16,0.0003,600,0.3187679290403998

1,16,0.0005,50,0.339282932350757
1,16,0.0005,100,0.3302752115212141
1,16,0.0005,150,0.32566692761468014
