num_layers,hidden_size,learning_rate,num_epochs,RMSE

1,4,1e-05,50,3.2298423962481593
1,4,1e-05,100,0.7598214803135015
1,4,1e-05,150,0.42601283363702397
1,4,1e-05,200,0.3776565274295569
1,4,1e-05,250,0.3585338492633845
1,4,1e-05,300,0.3483187973641476
1,4,1e-05,350,0.34182974521074955
1,4,1e-05,400,0.3373191830381393
1,4,1e-05,450,0.33401892856966936
1,4,1e-05,500,0.33152402393895536
1,4,1e-05,550,0.32959369798455335
1,4,1e-05,600,0.32807302063264404

1,4,5e-05,50,0.6056211710396457
1,4,5e-05,100,0.3187145405100599
1,4,5e-05,150,0.3180178114698231
1,4,5e-05,200,0.31786277279605657
1,4,5e-05,250,0.31779679515598863
1,4,5e-05,300,0.3177584376719275
1,4,5e-05,350,0.317732668033289
1,4,5e-05,400,0.3177136149775175
1,4,5e-05,450,0.3176989110998237
1,4,5e-05,500,0.31768695050600493
1,4,5e-05,550,0.3176769947271568
1,4,5e-05,600,0.3176688211395666

1,4,0.0001,50,0.33883175403568105
1,4,0.0001,100,0.3210506888332145
1,4,0.0001,150,0.3189179721193697
1,4,0.0001,200,0.3183512891432955
1,4,0.0001,250,0.31811406332226416
1,4,0.0001,300,0.3179809099351338
1,4,0.0001,350,0.3178920709629131
1,4,0.0001,400,0.317827212913033
1,4,0.0001,450,0.3177778162827465
1,4,0.0001,500,0.3177393861614173
1,4,0.0001,550,0.3177094993674138
1,4,0.0001,600,0.317685977222186

1,4,0.0003,50,0.3596822420426952
1,4,0.0003,100,0.3206897003300564
1,4,0.0003,150,0.31836413748519726
1,4,0.0003,200,0.31786428464754335
1,4,0.0003,250,0.3177237220330845
1,4,0.0003,300,0.31768385474954064
1,4,0.0003,350,0.31767531781026465
1,4,0.0003,400,0.3176775810596459
1,4,0.0003,450,0.3176837843910886
1,4,0.0003,500,0.31769150027515125
1,4,0.0003,550,0.31769980226329864
1,4,0.0003,600,0.3177081509365538

1,4,0.0005,50,0.32320343891706704
1,4,0.0005,100,0.32385451758017947
1,4,0.0005,150,0.32034498143073387
1,4,0.0005,200,0.318628162585337
1,4,0.0005,250,0.3184053352740424
1,4,0.0005,300,0.31831004924943007
1,4,0.0005,350,0.3182192300888227
1,4,0.0005,400,0.3181352821292274
1,4,0.0005,450,0.3180630597930258
1,4,0.0005,500,0.31800400025397824
1,4,0.0005,550,0.31795753674804567
1,4,0.0005,600,0.3179226670859257

1,4,0.001,50,0.36605673022784585
1,4,0.001,100,0.32554639588758577
1,4,0.001,150,0.3229191944064399
1,4,0.001,200,0.3222581804745012
1,4,0.001,250,0.32252329148973324
1,4,0.001,300,0.3232174774590405
1,4,0.001,350,0.32417107426892033
1,4,0.001,400,0.3262055088450739
1,4,0.001,450,0.3332679828519433
1,4,0.001,500,0.3327007500093409
1,4,0.001,550,0.33273195492002505
1,4,0.001,600,0.33271555227299954

1,8,1e-05,50,1.0365025815991402
1,8,1e-05,100,0.5305140390291238
1,8,1e-05,150,0.46810025642508607
1,8,1e-05,200,0.43150764246501405
1,8,1e-05,250,0.405307777512567
1,8,1e-05,300,0.38570938936662924
1,8,1e-05,350,0.37086343143061634
1,8,1e-05,400,0.3595589705900224
1,8,1e-05,450,0.35091980362159414
1,8,1e-05,500,0.34429324096880826
1,8,1e-05,550,0.3391884152463504
1,8,1e-05,600,0.33523448306677345

1,8,5e-05,50,0.36865909393395807
1,8,5e-05,100,0.3330078796207662
1,8,5e-05,150,0.32363275632702393
1,8,5e-05,200,0.320689746796033
1,8,5e-05,250,0.3195949868614409
1,8,5e-05,300,0.3191201884007466
1,8,5e-05,350,0.31888082428147485
1,8,5e-05,400,0.31874229945436533
1,8,5e-05,450,0.31865300638198346
1,8,5e-05,500,0.31859045476925835
1,8,5e-05,550,0.31854429900481157
1,8,5e-05,600,0.31850881521071867

1,8,0.0001,50,0.3317806420106429
1,8,0.0001,100,0.3187206652176344
1,8,0.0001,150,0.31834983811399076
1,8,0.0001,200,0.3181593799187941
1,8,0.0001,250,0.3180417307487099
1,8,0.0001,300,0.3179631136645396
1,8,0.0001,350,0.31790748071502617
1,8,0.0001,400,0.3178668161037
1,8,0.0001,450,0.3178361208379565
1,8,0.0001,500,0.3178127135592093
1,8,0.0001,550,0.317794556200265
1,8,0.0001,600,0.31778046565615997

1,8,0.0003,50,0.32946673319236486
1,8,0.0003,100,0.32808366015552587
1,8,0.0003,150,0.32723220208308196
1,8,0.0003,200,0.32649976273728143
1,8,0.0003,250,0.32584012457818284
1,8,0.0003,300,0.3252424257534183
1,8,0.0003,350,0.3246647628004453
1,8,0.0003,400,0.32412089744072303
1,8,0.0003,450,0.3236184365044184
1,8,0.0003,500,0.32316088158107015
1,8,0.0003,550,0.3227449724631691
1,8,0.0003,600,0.32236710308944616

1,8,0.0005,50,0.3467575630512825
1,8,0.0005,100,0.32421596939549113
1,8,0.0005,150,0.32804460903110993
1,8,0.0005,200,0.33143797210495723
1,8,0.0005,250,0.32356802430575604
1,8,0.0005,300,0.32078345497291433
1,8,0.0005,350,0.31957197652620645
1,8,0.0005,400,0.3187893614120774
1,8,0.0005,450,0.31832811869141603
1,8,0.0005,500,0.31807596662545834
1,8,0.0005,550,0.3179210031825258
1,8,0.0005,600,0.317805340554045

1,8,0.001,50,0.34775819248213585
1,8,0.001,100,0.3277449677748089
1,8,0.001,150,0.3232542537039074
1,8,0.001,200,0.33019720559168114
1,8,0.001,250,0.32465738476268424
1,8,0.001,300,0.3234780825157831
1,8,0.001,350,0.3228348992507827
1,8,0.001,400,0.32213934533887817
1,8,0.001,450,0.32238154782807865
1,8,0.001,500,0.32206505978790523
1,8,0.001,550,0.32202990609841337
1,8,0.001,600,0.3221517766356453

2,4,1e-05,50,1.249994611728499
2,4,1e-05,100,0.449283595173283
2,4,1e-05,150,0.3313581825335983
2,4,1e-05,200,0.3225854384927557
2,4,1e-05,250,0.32094923558828303
2,4,1e-05,300,0.3203222343082191
2,4,1e-05,350,0.31997615321160405
2,4,1e-05,400,0.31973914259744385
2,4,1e-05,450,0.31955592426269347
2,4,1e-05,500,0.31940511951520795
2,4,1e-05,550,0.31927636667075127
2,4,1e-05,600,0.3191648252316201

2,4,5e-05,50,0.33817422684759973
2,4,5e-05,100,0.3194865533584044
2,4,5e-05,150,0.31819741979888994
2,4,5e-05,200,0.3177628926296006
2,4,5e-05,250,0.31755381745689837
2,4,5e-05,300,0.31743576781777993
2,4,5e-05,350,0.3173632102194791
2,4,5e-05,400,0.3173163241655071
2,4,5e-05,450,0.31728515296248
2,4,5e-05,500,0.3172641121368672
2,4,5e-05,550,0.31724997454839293
2,4,5e-05,600,0.31724075659534573

2,4,0.0001,50,0.33603012670972926
2,4,0.0001,100,0.3189811368726985
2,4,0.0001,150,0.3183153391145397
2,4,0.0001,200,0.31817458939159016
2,4,0.0001,250,0.3181408090916424
2,4,0.0001,300,0.3181487246587174
2,4,0.0001,350,0.3181746713498282
2,4,0.0001,400,0.3182075700231667
2,4,0.0001,450,0.31824213923450057
2,4,0.0001,500,0.31827464468108185
2,4,0.0001,550,0.3183028633183938
2,4,0.0001,600,0.31832597709481236

2,4,0.0003,50,0.32160295498890645
2,4,0.0003,100,0.3181288534017237
2,4,0.0003,150,0.31778604568012425
2,4,0.0003,200,0.31767117825024976
2,4,0.0003,250,0.31763502223609036
2,4,0.0003,300,0.31764901368267107
2,4,0.0003,350,0.3176974688167979
2,4,0.0003,400,0.3177685901949738
2,4,0.0003,450,0.31785356089439726
2,4,0.0003,500,0.31794859707488776
2,4,0.0003,550,0.3180119543692619
2,4,0.0003,600,0.318005124853782

2,4,0.0005,50,0.3220841677191431
2,4,0.0005,100,0.3197905311605732
2,4,0.0005,150,0.31940614587640104
2,4,0.0005,200,0.31932288326913866
2,4,0.0005,250,0.3193427735509819
2,4,0.0005,300,0.31947342365693027
2,4,0.0005,350,0.31961381120757065
2,4,0.0005,400,0.31971047977925293
2,4,0.0005,450,0.3197904496164596
2,4,0.0005,500,0.31986348151397354
2,4,0.0005,550,0.3199308843590051
2,4,0.0005,600,0.31999816823226457

2,4,0.001,50,0.32313702996252136
2,4,0.001,100,0.3228314374407857
2,4,0.001,150,0.32758220554524164
2,4,0.001,200,0.3334845991932379
2,4,0.001,250,0.3338753483262382
